@relation protocol_detection
@attribute protocol-name {ssh,http,mysql,unknown}
@attribute src string
@attribute sport string
@attribute dst string
@attribute dport string
@attribute proto string
@attribute flags string
@attribute average_len numeric
@attribute pkt_count numeric
@attribute flow_average_inter_arrival_time numeric
@data
mysql,89.22.96.128,51592,89.22.96.129,3306,6,S|SA|A|PA|A|PA|A|PA|PA|PA|PA|PA|A|PA|PA|A|PA|PA|A|PA|A|PA|A|PA|PA|PA|PA|PA|PA|PA|PA|A|PA|PA|A|PA|PA|PA|PA|PA|PA|A|PA|PA|A|PA|PA|PA|PA|PA|PA|A|PA|PA|A|PA|PA|PA|PA|A|PA|PA|A|PA|PA|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|PA|PA|PA|PA|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|PA|PA|PA|PA|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|PA|PA|PA|PA|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|PA|PA|PA|PA|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|PA|PA|PA|PA|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|PA|PA|PA|PA|PA|PA|A|PA|PA|A|PA|A|A|PA|A|PA|A|PA|PA|A|PA|PA|A|PA|PA|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|PA|PA|PA|PA|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|PA|PA|PA|PA|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|PA|PA|PA|PA|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|PA|PA|PA|PA|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|PA|PA|PA|PA|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|PA|PA|PA|PA|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|A|PA|PA|PA|PA|PA|PA|PA|PA|A|PA|PA|A,414,338,0.8505
http,89.22.96.128,55042,204.93.223.137,80,6,S|SA|A|PA|A|PA|A|FA|A|PA|A|FA|A,156,13,0.0108
http,66.249.78.50,52428,89.22.96.128,80,6,S|SA|A|PA|A|PA|A|FA|FA|A,141,10,0.0139
http,91.232.96.13,38989,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|A|FA|A,524,18,0.018
http,91.232.96.14,53905,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|PA|A|FPA|A|A|A|A|FA|A,600,20,0.0093
http,91.232.96.14,45413,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|FA|A|FA|A,504,19,0.0525
http,89.22.96.128,56087,204.93.223.137,80,6,S|SA|A|PA|A|PA|A|PA|A|FA|A|FA|A,163,13,0.0026
http,89.22.96.128,33678,204.93.223.137,80,6,S|SA|A|PA|A|PA|A|FA|A|PA|A|FA|A,156,13,0.0025
http,89.22.96.128,59535,204.93.223.137,80,6,S|SA|A|PA|A|PA|A|PA|A|A|PA|A|FA|FA|A,397,15,0.0159
http,91.232.96.13,44594,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|A|PA|FPA|A|A|A|A|FA|A,542,20,0.0311
http,91.232.96.13,41180,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|A|FA|A,509,18,0.0339
http,91.232.96.14,60097,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|FA|A,553,17,0.0178
http,89.245.115.7,2594,89.22.96.128,80,6,S|SA|A|PA|A|PA|A|PA|A|PA|A|FA|A|FA|A,275,15,0.1323
http,91.232.96.13,42709,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|A|PA|A|FPA|A|A|A|A|A|FA|A,548,22,0.0255
http,91.232.96.16,57142,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|PA|FPA|A|A|A|FA|A,603,18,0.0195
ssh,188.64.44.161,54553,188.64.44.131,22,6,S|A|FA,54,3,0.0005
http,89.22.96.128,35342,204.93.223.137,80,6,S|SA|A|PA|A|PA|A|PA|A|FA|FA|A,151,12,0.0023
http,91.232.96.14,38032,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|A|FA|A,527,18,0.0047
http,81.7.13.161,46359,89.22.96.128,80,6,S|SA|A|PA|A|A|A|PA|A|A|A|A|PA|FPA|A|A|A|A|FA|A,497,20,0.0093
http,66.249.78.36,51131,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|PA|A|A|A|PA|A|A|A|A|A|PA|A|A|A|FA|FA|A,430,26,0.0166
http,91.232.96.14,35344,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|FPA|A|A|FA|A,569,15,0.0042
http,91.121.176.101,48121,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|PA|FPA|A|A|A|FA|A,615,18,0.0097
http,5.135.179.227,38392,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|A|PA|A|FPA|A|A|A|A|FA|A,549,21,0.0096
http,91.232.96.14,54700,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|FA|A,591,16,0.0061
http,91.232.96.14,57865,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|FA|A,552,17,0.0045
http,91.232.96.16,37938,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|FA|A,607,15,0.0214
http,89.22.96.128,54056,204.93.223.137,80,6,S|SA|A|PA|A|PA|A|PA|A|FA|A|FA|A,170,13,0.0046
http,66.249.75.171,44111,89.22.96.128,80,6,S|SA|A|PA|A|A|A|PA|A|A|A|FA|FA|A,333,14,0.0083
http,91.232.96.13,45211,89.22.96.128,80,6,S|SA|S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|A|FPA|FA|A,467,21,0.1069
http,89.245.115.7,2590,89.22.96.128,80,6,S|SA|A|PA|A|A|A|PA|A|PA|A|A|A|A|PA|A|A|PA|A|PA|A|FA|A|FA|A,541,25,0.086
http,5.135.179.227,35818,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|A|FA|A,495,18,0.0056
http,188.64.46.222,80,188.64.46.173,48782,6,SA|A|A|PA|FA|A,512,6,0.0011
http,91.232.96.18,59495,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|A|FA|A,519,18,0.0047
http,89.22.96.128,55028,204.93.223.137,80,6,S|SA|A|PA|A|PA|A|A|A|A|PA|PA|A|A|A|A|A|A|A|A|PA|A|A|A|A|A|A|PA|A|FA|FA|A,610,32,0.0074
http,91.121.176.101,48629,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|FPA|A|A|FA|A,578,15,0.0058
mysql,89.22.96.128,37188,89.22.96.129,3306,6,FA|FA|A,52,3,0.0004
http,80.187.111.151,60171,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|A|A|A|A|PA|A|A|PA|PA|A|FA|FA|A,606,24,0.0083
http,91.232.96.16,55950,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|PA|A|A|FPA|A|A|FA|A,604,19,0.0109
http,66.249.78.36,61500,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|PA|A|A|A|PA|A|A|A|PA|A|A|A|FA|FA|A,468,24,0.0147
http,89.22.96.128,43446,204.93.223.153,80,6,S|SA|A|PA|A|PA|A|PA|A|FA|FA|A,90,12,0.0783
http,89.22.96.128,36640,204.93.223.137,80,6,S|SA|A|PA|A|PA|A|PA|A|FA|A|FA|A,168,13,0.0105
http,91.232.96.13,49479,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|A|FA|A,523,18,0.0245
ssh,188.64.44.150,52750,188.64.44.131,22,6,S|A|A|PA|PA|PA|PA|PA|PA|PA|PA|PA|PA|PA|PA|A|PA|PA|PA|A|PA|PA|FA|A,165,24,0.0052
http,91.232.96.16,43893,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|FA|A,598,15,0.0084
http,91.232.96.14,38389,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|FA|A,572,16,0.0106
http,66.249.78.36,34513,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|PA|A|A|A|PA|A|A|A|A|A|PA|A|A|A|FA|FA|A,423,26,0.014
mysql,89.22.96.128,52613,89.22.96.129,3306,6,FA|FA|A,52,3,0.0004
http,66.249.78.36,35741,89.22.96.128,80,6,S|SA|A|PA|A|PA|A|FA|FA|A,167,10,0.0032
http,91.232.96.14,33925,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|FA|A,546,17,0.0081
http,89.22.96.128,53941,204.93.223.137,80,6,S|SA|A|PA|A|PA|A|A|A|A|PA|PA|A|A|A|A|A|A|A|PA|A|A|A|A|A|PA|A|FA|FA|A,591,30,0.0068
http,91.232.96.14,46249,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|A|PA|A|FPA|A|A|A|A|FA|A,551,21,0.0096
http,188.64.46.222,80,188.64.46.173,48883,6,SA|A|A|PA|FA|A,479,6,0.0081
http,91.232.96.16,37003,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|PA|A|A|FPA|A|A|A|A|FA|A,550,21,0.0265
ssh,188.64.44.143,41706,188.64.44.131,22,6,S|A|A|PA|PA|PA|PA|PA|PA|PA|PA|PA|PA|PA|PA|A|PA|PA|PA|PA|PA|PA|FA|A,168,24,0.026
http,91.232.96.13,43214,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|A|FPA|FA|A,530,19,0.0286
http,91.121.176.101,36615,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|FA|A,523,17,0.0045
http,91.232.96.17,36814,89.22.96.128,80,6,S|SA|A|PA|A,112,5,0.0008
http,89.22.96.128,55048,204.93.223.137,80,6,S|SA|A|PA|A|PA|A|PA|A|FA|FA|A,90,12,0.0066
http,91.232.96.14,41849,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|FA|A,582,16,0.0112
http,91.232.96.13,50483,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|A|FA|A,507,18,0.0276
